 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.8348E+00
                      solve bz          0.2072E+01
                 solve beam bt          0.9680E+00
               solve plasma bt          0.2976E+01
                      solve ez          0.2184E+01
                 solve beam et          0.0000E+00
               solve plasma et          0.1166E+00
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.1426E+02
        copy & add guard cells          0.2065E+00
                   copy slices          0.3481E+00
                      pipeline          0.5610E+00
          deposit 2D particles          0.7687E+02
             push 2D particles          0.1408E+02
             move 2D particles          0.3525E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.3936E+02
             push 3D particles          0.7555E+02
             move 3D particles          0.3339E+01
                   extract psi          0.0000E+00
                   arithmetics          0.5776E+00
                    write hdf5          0.1015E+01
         total simulation time          0.2477E+03
 ==================================================
