 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.7987E+00
                      solve bz          0.1824E+01
                 solve beam bt          0.9142E+00
               solve plasma bt          0.2626E+01
                      solve ez          0.1905E+01
                 solve beam et          0.0000E+00
               solve plasma et          0.9866E-01
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.1062E+01
        copy & add guard cells          0.4684E+02
                   copy slices          0.2405E+01
                      pipeline          0.7606E+01
          deposit 2D particles          0.6807E+02
             push 2D particles          0.1499E+02
             move 2D particles          0.2221E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.2888E-01
             push 3D particles          0.2247E-01
             move 3D particles          0.8633E+02
                   extract psi          0.0000E+00
                   arithmetics          0.5211E+00
                    write hdf5          0.7511E+01
         total simulation time          0.2456E+03
 ==================================================
