 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.8304E+00
                      solve bz          0.2070E+01
                 solve beam bt          0.9606E+00
               solve plasma bt          0.2970E+01
                      solve ez          0.2149E+01
                 solve beam et          0.0000E+00
               solve plasma et          0.1104E+00
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.1281E+01
        copy & add guard cells          0.4526E+02
                   copy slices          0.3465E+00
                      pipeline          0.5888E+00
          deposit 2D particles          0.8426E+02
             push 2D particles          0.1555E+02
             move 2D particles          0.2060E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.7365E-01
             push 3D particles          0.1112E+00
             move 3D particles          0.8106E+02
                   extract psi          0.0000E+00
                   arithmetics          0.5761E+00
                    write hdf5          0.4928E+01
         total simulation time          0.2477E+03
 ==================================================
